Aadhi	PERSON
Pinisetty	PERSON
is	O
an	O
Indian	MISC
film	O
actor	MISC
who	O
appears	O
in	O
Tamil	MISC
and	O
Telugu	MISC
films	O
.	O
Ashish	PERSON
Chaudhary	PERSON
-LRB-	O
born	O
21	MISC
July	MISC
1978	MISC
-RRB-	O
is	O
a	O
Bollywood	ORGANIZATION
actor	O
Chaudhary	PERSON
-LRB-	O
born	O
21	MISC
July	MISC
1978	MISC
-RRB-	O
is	O
a	O
Bollywood	ORGANIZATION
actor	MISC
.	O
Abbas	PERSON
-LRB-	O
born	O
21	MISC
May	MISC
1975	MISC
-RRB-	O
as	O
Mirza	PERSON
Abbas	PERSON
Ali	PERSON
is	O
an	O
Indian	MISC
Tamil	MISC
film	O
actor	MISC
and	O
model	MISC
,	O
who	O
has	O
predominantly	O
appeared	O
in	O
Tamil	MISC
films	O
,	O
and	O
a	O
few	O
films	O
in	O
Telugu	MISC
,	O
Malayalam	MISC
,	O
Hindi	MISC
and	O
Kannada	MISC
making	O
his	O
debut	O
with	O
Kadhir	PERSON
's	O
Kadhal	O
Desam	O
-LRB-	O
1996	MISC
-RRB-	O
,	O
Abbas	PERSON
enjoyed	O
success	O
as	O
the	O
second	MISC
lead	O
actor	MISC
in	O
Tamil	MISC
films	O
from	O
1999	MISC
to	MISC
2009	MISC
.	O
Abbas	PERSON
grew	O
up	O
watching	O
Hindi	O
and	O
Bengali	MISC
films	O
,	O
with	O
his	O
maternal	O
grandfather	O
being	O
a	O
film	O
actor	MISC
and	O
his	O
paternal	O
family	O
being	O
related	O
to	O
actor	MISC
Feroz	PERSON
Khan	PERSON
.	O
He	O
partook	O
in	O
modelling	O
assignments	O
since	O
his	O
college	O
days	O
and	O
subsequently	O
wanted	O
to	O
become	O
an	O
actor	MISC
in	O
Indian	MISC
films	O
after	O
hearing	O
that	O
director	MISC
Kadhir	PERSON
was	O
looking	O
for	O
a	O
new	O
actor	MISC
for	O
his	O
latest	O
venture	O
,	O
Abbas	PERSON
had	O
recommended	O
his	O
friends	O
who	O
knew	O
Tamil	MISC
to	O
audition	O
,	O
and	O
took	O
part	O
in	O
a	O
speculative	O
audition	O
at	O
the	O
insistence	O
of	O
his	O
friends	O
Following	O
a	O
spell	O
of	O
commercially	O
disappointing	O
Tamil	MISC
films	O
as	O
the	O
lead	O
actor	MISC
,	O
Abbas	PERSON
worked	O
on	O
several	O
prestigious	O
films	O
in	O
the	O
early	O
2000s	MISC
as	O
a	O
second	MISC
hero	O
Abbas	O
-LRB-	O
born	O
21	MISC
May	MISC
1975	MISC
-RRB-	O
as	O
Mirza	PERSON
Abbas	PERSON
Ali	PERSON
is	O
an	O
Indian	MISC
Tamil	MISC
film	O
actor	MISC
and	O
model	MISC
,	O
who	O
has	O
predominantly	O
appeared	O
in	O
Tamil	MISC
films	O
,	O
and	O
a	O
few	O
films	O
in	O
Telugu	MISC
,	O
Malayalam	MISC
,	O
Hindi	O
and	O
Kannada	MISC
After	O
making	O
his	O
debut	O
with	O
Kadhir	PERSON
's	O
Kadhal	O
Desam	O
-LRB-	O
1996	MISC
-RRB-	O
,	O
Abbas	PERSON
enjoyed	O
success	O
as	O
the	O
second	MISC
lead	O
actor	MISC
in	O
Tamil	MISC
films	O
from	O
1999	MISC
to	MISC
2009	MISC
.	O
Abbas	PERSON
grew	O
up	O
watching	O
Hindi	O
and	O
Bengali	MISC
films	O
,	O
with	O
his	O
maternal	O
grandfather	O
being	O
a	O
film	O
actor	MISC
and	O
his	O
paternal	O
family	O
being	O
related	O
to	O
actor	MISC
Feroz	PERSON
Khan	PERSON
.	O
He	O
partook	O
in	O
modelling	O
assignments	O
since	O
his	O
college	O
days	O
and	O
subsequently	O
wanted	O
to	O
become	O
an	O
actor	MISC
in	O
Indian	MISC
films	O
Initially	O
after	O
hearing	O
that	O
director	MISC
Kadhir	PERSON
was	O
looking	O
for	O
a	O
new	O
actor	MISC
for	O
his	O
latest	O
venture	O
,	O
Abbas	PERSON
had	O
recommended	O
his	O
friends	O
who	O
knew	O
Tamil	MISC
to	O
audition	O
,	O
and	O
took	O
part	O
in	O
a	O
speculative	O
audition	O
at	O
the	O
insistence	O
of	O
his	O
friends	O
Following	O
a	O
spell	O
of	O
commercially	O
disappointing	O
Tamil	MISC
films	O
as	O
the	O
lead	O
actor	MISC
,	O
Abbas	PERSON
worked	O
on	O
several	O
prestigious	O
films	O
in	O
the	O
early	O
2000s	MISC
as	O
a	O
second	MISC
hero	O
.	O
Abhimanyu	PERSON
Singh	PERSON
-LRB-	O
born	O
in	O
Sonpur	LOCATION
,	O
Bihar	LOCATION
-RRB-	O
is	O
an	O
Indian	MISC
film	O
actor	MISC
who	O
works	O
mainly	O
in	O
Bollywood	ORGANIZATION
and	O
Telugu	MISC
cinema	O
He	O
got	O
his	O
