,City,PageLink
0,Mumbai,/wiki/Mumbai
1,Bangalore,/wiki/Bangalore
2,"Hyderabad, India","/wiki/Hyderabad,_India"
3,Ahmedabad,/wiki/Ahmedabad
4,Chennai,/wiki/Chennai
5,Kolkata,/wiki/Kolkata
6,Surat,/wiki/Surat
7,Pune,/wiki/Pune
8,Jaipur,/wiki/Jaipur
9,Lucknow,/wiki/Lucknow
10,Kanpur,/wiki/Kanpur
11,Nagpur,/wiki/Nagpur
12,Indore,/wiki/Indore
13,Thane,/wiki/Thane
14,Bhopal,/wiki/Bhopal
15,Pimpri-Chinchwad,/wiki/Pimpri-Chinchwad
16,Patna,/wiki/Patna
17,Vadodara,/wiki/Vadodara
18,"Ghaziabad, India","/wiki/Ghaziabad,_India"
19,Ludhiana,/wiki/Ludhiana
20,Agra,/wiki/Agra
21,Nashik,/wiki/Nashik
22,Faridabad,/wiki/Faridabad
23,Meerut,/wiki/Meerut
24,Rajkot,/wiki/Rajkot
25,Kalyan-Dombivali,/wiki/Kalyan-Dombivali
26,Vasai-Virar,/wiki/Vasai-Virar
27,Varanasi,/wiki/Varanasi
28,Srinagar,/wiki/Srinagar
29,Dhanbad,/wiki/Dhanbad
30,Amritsar,/wiki/Amritsar
31,Navi Mumbai,/wiki/Navi_Mumbai
32,Allahabad,/wiki/Allahabad
33,Howrah,/wiki/Howrah
34,Ranchi,/wiki/Ranchi
35,Gwalior,/wiki/Gwalior
36,Jabalpur,/wiki/Jabalpur
37,Coimbatore,/wiki/Coimbatore
38,Vijayawada,/wiki/Vijayawada
39,Jodhpur,/wiki/Jodhpur
40,Madurai,/wiki/Madurai
41,Chandigarh,/wiki/Chandigarh
42,Chandigarh,/wiki/Chandigarh
43,Guwahati,/wiki/Guwahati
44,Assam,/wiki/Assam
45,Solapur,/wiki/Solapur
46,Hubballi-Dharwad,/wiki/Hubballi-Dharwad
47,Bareilly,/wiki/Bareilly
48,Mysore,/wiki/Mysore
49,Tiruppur,/wiki/Tiruppur
50,Gurgaon,/wiki/Gurgaon
51,Aligarh,/wiki/Aligarh
52,Jalandhar,/wiki/Jalandhar
53,Bhubaneswar,/wiki/Bhubaneswar
54,Mira-Bhayandar,/wiki/Mira-Bhayandar
55,Thiruvananthapuram,/wiki/Thiruvananthapuram
56,Bhiwandi,/wiki/Bhiwandi
57,Saharanpur,/wiki/Saharanpur
58,Gorakhpur,/wiki/Gorakhpur
59,Bikaner,/wiki/Bikaner
60,Amravati,/wiki/Amravati
61,Noida,/wiki/Noida
62,Jamshedpur,/wiki/Jamshedpur
63,Bhilai,/wiki/Bhilai
64,Cuttack,/wiki/Cuttack
65,Firozabad,/wiki/Firozabad
66,"Kochi, India","/wiki/Kochi,_India"
67,Bhavnagar,/wiki/Bhavnagar
68,Dehradun,/wiki/Dehradun
69,Uttarakhand,/wiki/Uttarakhand
70,Asansol,/wiki/Asansol
71,Rourkela,/wiki/Rourkela
72,Nanded,/wiki/Nanded
73,Kolhapur,/wiki/Kolhapur
74,Ajmer,/wiki/Ajmer
75,Akola city,/wiki/Akola_city
76,Gulbarga,/wiki/Gulbarga
77,Jamnagar,/wiki/Jamnagar
78,Ujjain,/wiki/Ujjain
79,"Loni, India","/wiki/Loni,_India"
80,Siliguri,/wiki/Siliguri
81,Jhansi,/wiki/Jhansi
82,Ulhasnagar,/wiki/Ulhasnagar
83,Sangli-Miraj &amp; Kupwad,/wiki/Sangli-Miraj_%26_Kupwad
84,Mangalore,/wiki/Mangalore
85,Belgaum,/wiki/Belgaum
86,Ambattur,/wiki/Ambattur
87,Tirunelveli,/wiki/Tirunelveli
88,Malegaon,/wiki/Malegaon
89,"Gaya, India","/wiki/Gaya,_India"
90,Jalgaon,/wiki/Jalgaon
91,Udaipur,/wiki/Udaipur
92,Maheshtala,/wiki/Maheshtala
93,Davanagere,/wiki/Davanagere
94,Kozhikode,/wiki/Kozhikode
95,Kurnool,/wiki/Kurnool
96,Rajpur Sonarpur,/wiki/Rajpur_Sonarpur
97,Bokaro Steel City,/wiki/Bokaro_Steel_City
98,South Dumdum,/wiki/South_Dumdum
99,Bellary,/wiki/Bellary
100,Patiala,/wiki/Patiala
101,Agartala,/wiki/Agartala
102,Tripura,/wiki/Tripura
103,Bhagalpur,/wiki/Bhagalpur
104,Muzaffarnagar,/wiki/Muzaffarnagar
105,Bhatpara,/wiki/Bhatpara
106,Panihati,/wiki/Panihati
107,Latur,/wiki/Latur
108,Dhule,/wiki/Dhule
109,Rohtak,/wiki/Rohtak
110,Bhilwara,/wiki/Bhilwara
111,Berhampur,/wiki/Berhampur
112,Muzaffarpur,/wiki/Muzaffarpur
113,Ahmednagar,/wiki/Ahmednagar
114,Mathura,/wiki/Mathura
115,Kollam,/wiki/Kollam
116,Avadi,/wiki/Avadi
117,Kadapa,/wiki/Kadapa
118,Kamarhati,/wiki/Kamarhati
119,Sambalpur,/wiki/Sambalpur
120,Shahjahanpur,/wiki/Shahjahanpur
121,Satara (city),/wiki/Satara_(city)
122,Shivamogga,/wiki/Shivamogga
123,Chandrapur,/wiki/Chandrapur
124,Junagadh,/wiki/Junagadh
125,Thrissur,/wiki/Thrissur
126,Alwar,/wiki/Alwar
127,Bardhaman,/wiki/Bardhaman
128,Kulti,/wiki/Kulti
129,Kakinada,/wiki/Kakinada
130,Parbhani,/wiki/Parbhani
131,Tumkur,/wiki/Tumkur
132,Khammam,/wiki/Khammam
133,Ozhukarai,/wiki/Ozhukarai
134,Puducherry,/wiki/Puducherry
135,Panipat,/wiki/Panipat
136,Darbhanga,/wiki/Darbhanga
137,"Bally, Howrah","/wiki/Bally,_Howrah"
138,Aizawl,/wiki/Aizawl
139,Mizoram,/wiki/Mizoram
140,Dewas,/wiki/Dewas
141,Ichalkaranji,/wiki/Ichalkaranji
142,Karnal,/wiki/Karnal
143,Bathinda,/wiki/Bathinda
144,Jalna (city),/wiki/Jalna_(city)
145,Eluru,/wiki/Eluru
146,Kirari Suleman Nagar,/wiki/Kirari_Suleman_Nagar
147,Barasat,/wiki/Barasat
148,Purnia,/wiki/Purnia
149,Satna,/wiki/Satna
150,Mau,/wiki/Mau
151,Sonipat,/wiki/Sonipat
152,Farrukhabad,/wiki/Farrukhabad
153,Rourkela,/wiki/Rourkela
154,Durg,/wiki/Durg
155,Imphal,/wiki/Imphal
156,Manipur,/wiki/Manipur
157,Ratlam,/wiki/Ratlam
158,Hapur,/wiki/Hapur
159,Arrah,/wiki/Arrah
160,Karimnagar,/wiki/Karimnagar
161,Anantapur,/wiki/Anantapur
162,Etawah,/wiki/Etawah
163,Ambernath,/wiki/Ambernath
164,North Dumdum,/wiki/North_Dumdum
165,"Bharatpur, India","/wiki/Bharatpur,_India"
166,Begusarai,/wiki/Begusarai
167,Gandhidham,/wiki/Gandhidham
168,Baranagar,/wiki/Baranagar
169,Tiruvottiyur,/wiki/Tiruvottiyur
170,Pondicherry,/wiki/Pondicherry
171,Puducherry,/wiki/Puducherry
172,Sikar,/wiki/Sikar
173,Thoothukudi,/wiki/Thoothukudi
174,"Rewa, India","/wiki/Rewa,_India"
175,Mirzapur,/wiki/Mirzapur
176,Raichur,/wiki/Raichur
177,Haridwar,/wiki/Haridwar
178,Uttarakhand,/wiki/Uttarakhand
179,Vizianagaram,/wiki/Vizianagaram
180,Katihar,/wiki/Katihar
181,Nagercoil,/wiki/Nagercoil
182,Sri Ganganagar,/wiki/Sri_Ganganagar
183,Karawal Nagar,/wiki/Karawal_Nagar
184,Mango (Jamshedpur),/wiki/Mango_(Jamshedpur)
185,Thanjavur,/wiki/Thanjavur
186,Bulandshahr,/wiki/Bulandshahr
187,Uluberia,/wiki/Uluberia
188,Murwara,/wiki/Murwara
189,Sambhal,/wiki/Sambhal
190,Singrauli,/wiki/Singrauli
191,Nadiad,/wiki/Nadiad
192,Secunderabad,/wiki/Secunderabad
193,Naihati,/wiki/Naihati
194,Yamunanagar,/wiki/Yamunanagar
