,Town,PageLink
0,Achhnera,/wiki/Achhnera
1,Adalaj,/wiki/Adalaj
2,Adoor,/wiki/Adoor
3,"Adra, Purulia","/wiki/Adra,_Purulia"
4,Afzalpur,/wiki/Afzalpur
5,Akot,/wiki/Akot
6,Alipurduar,/wiki/Alipurduar
7,Alirajpur,/wiki/Alirajpur
8,Almora,/wiki/Almora
9,Aluva,/wiki/Aluva
10,Amalapuram,/wiki/Amalapuram
11,Amalner,/wiki/Amalner
12,"Amaravathi (village), Guntur district","/wiki/Amaravathi_(village),_Guntur_district"
13,Ambejogai,/wiki/Ambejogai
14,Anakapalle,/wiki/Anakapalle
15,Angul,/wiki/Angul
16,"Anjar, India","/wiki/Anjar,_India"
17,Anjangaon,/wiki/Anjangaon
18,Anklesvar,/wiki/Anklesvar
19,Arakkonam,/wiki/Arakkonam
20,Araria,/wiki/Araria
21,Arambagh,/wiki/Arambagh
22,Arsikere,/wiki/Arsikere
23,Aruppukkottai,/wiki/Aruppukkottai
24,"Arvi, Wardha","/wiki/Arvi,_Wardha"
25,Arwal,/wiki/Arwal
26,Asarganj,/wiki/Asarganj
27,Ashok Nagar,/wiki/Ashok_Nagar
28,Athni,/wiki/Athni
29,Attili,/wiki/Attili
30,Attingal,/wiki/Attingal
31,Badrinath,/wiki/Badrinath
32,Bageshwar,/wiki/Bageshwar
33,Bajpur,/wiki/Bajpur
34,Balaghat,/wiki/Balaghat
35,Balangir Town,/wiki/Balangir_Town
36,/w/index.php?title=Banaganipalli&amp;action=edit&amp;redlink=1,new
37,Bapatla,/wiki/Bapatla
38,Barbil,/wiki/Barbil
39,Bargarh,/wiki/Bargarh
40,Barh,/wiki/Barh
41,"Barkot, India","/wiki/Barkot,_India"
42,Barpeta,/wiki/Barpeta
43,Bellampalle,/wiki/Bellampalle
44,"Belonia, India","/wiki/Belonia,_India"
45,Bhabua,/wiki/Bhabua
46,Bhadrachalam,/wiki/Bhadrachalam
47,Bhainsa,/wiki/Bhainsa
48,Bhaiseena,/wiki/Bhaiseena
49,Bhatapara,/wiki/Bhatapara
50,Bhawanipatna,/wiki/Bhawanipatna
51,Bheemunipatnam,/wiki/Bheemunipatnam
52,Bhimtal,/wiki/Bhimtal
53,Bhongir,/wiki/Bhongir
54,Bhowali,/wiki/Bhowali
55,Bhusawar,/wiki/Bhusawar
56,Bobbili,/wiki/Bobbili
57,Bodhan,/wiki/Bodhan
58,Bongaigaon,/wiki/Bongaigaon
59,Byasanagar,/wiki/Byasanagar
60,Bagha Kusmar,/wiki/Bagha_Kusmar
61,Chaibasa,/wiki/Chaibasa
62,Charkhi Dadri,/wiki/Charkhi_Dadri
63,Chatra,/wiki/Chatra
64,Chalakudy,/wiki/Chalakudy
65,Chamoli Gopeshwar,/wiki/Chamoli_Gopeshwar
66,Champawat,/wiki/Champawat
67,Changanassery,/wiki/Changanassery
68,Chengannur,/wiki/Chengannur
69,Cooch Behar,/wiki/Cooch_Behar
70,Cherthala,/wiki/Cherthala
71,Chhapra,/wiki/Chhapra
72,Chidambaram,/wiki/Chidambaram
73,Tamil nadu,/wiki/Tamil_nadu
74,Chirala,/wiki/Chirala
75,Chirkunda,/wiki/Chirkunda
76,Chirmiri,/wiki/Chirmiri
77,Chandpara,/wiki/Chandpara
78,Chittur-Thathamangalam,/wiki/Chittur-Thathamangalam
79,Dalli-Rajhara,/wiki/Dalli-Rajhara
80,Daltonganj,/wiki/Daltonganj
81,Degana,/wiki/Degana
82,Devprayag,/wiki/Devprayag
83,Dhamtari,/wiki/Dhamtari
84,Dharchula,/wiki/Dharchula
85,Dharmanagar,/wiki/Dharmanagar
86,"Dhenkanal, India","/wiki/Dhenkanal,_India"
87,Dhone,/wiki/Dhone
88,Andhrapradesh,/wiki/Andhrapradesh
89,Dhoraji,/wiki/Dhoraji
90,Dhubri,/wiki/Dhubri
91,Dhuri,/wiki/Dhuri
92,Didihat,/wiki/Didihat
93,Dineshpur,/wiki/Dineshpur
94,Diphu,/wiki/Diphu
95,Dogadda,/wiki/Dogadda
96,Doiwala,/wiki/Doiwala
97,Dumka,/wiki/Dumka
98,Dumraon,/wiki/Dumraon
99,Dwarahat,/wiki/Dwarahat
100,Ellenabad,/wiki/Ellenabad
101,"Faridkot, India","/wiki/Faridkot,_India"
102,Farooqnagar,/wiki/Farooqnagar
103,Fazilka,/wiki/Fazilka
104,Forbesganj,/wiki/Forbesganj
105,Firozpur Cantt.,/wiki/Firozpur_Cantt.
106,Faizabad,/wiki/Faizabad
107,Gadarpur,/wiki/Gadarpur
108,Gadwal,/wiki/Gadwal
109,Gangarampur,/wiki/Gangarampur
110,Gangotri,/wiki/Gangotri
111,Gavaravaram,/wiki/Gavaravaram
112,Gobichettipalayam,/wiki/Gobichettipalayam
113,Gobindgarh,/wiki/Gobindgarh
114,Gochar,/wiki/Gochar
115,Gohana,/wiki/Gohana
116,Golaghat,/wiki/Golaghat
117,Gokak,/wiki/Gokak
118,Gooty,/wiki/Gooty
119,"Gopalganj, India","/wiki/Gopalganj,_India"
120,Gudur,/wiki/Gudur
121,Gunupur,/wiki/Gunupur
122,Gumia,/wiki/Gumia
123,Gurdaspur,/wiki/Gurdaspur
124,Guruvayoor,/wiki/Guruvayoor
125,Hansi,/wiki/Hansi
126,Herbertpur,/wiki/Herbertpur
127,Itarsi,/wiki/Itarsi
128,Indore,/wiki/Indore
129,Inkollu,/wiki/Inkollu
130,Andhra pradesh,/wiki/Andhra_pradesh
131,J,mw-headline
132,Jaggaiahpet,/wiki/Jaggaiahpet
133,Jagraon,/wiki/Jagraon
134,Jagtial,/wiki/Jagtial
135,Jalandhar Cantt.,/wiki/Jalandhar_Cantt.
136,Jammalamadugu,/wiki/Jammalamadugu
137,Jamui,/wiki/Jamui
138,"Jangaon, Warangal district","/wiki/Jangaon,_Warangal_district"
139,Jaspur,/wiki/Jaspur
140,Jatani,/wiki/Jatani
141,Jhabrera,/wiki/Jhabrera
142,Jhargram,/wiki/Jhargram
143,Jharsuguda,/wiki/Jharsuguda
