,Movie,PageLink
0,Dangal (film),/wiki/Dangal_(film)
1,Aamir Khan Productions,/wiki/Aamir_Khan_Productions
2,Sanju,/wiki/Sanju
3,Vinod Chopra Films,/wiki/Vinod_Chopra_Films
4,PK (film),/wiki/PK_(film)
5,Tiger Zinda Hai,/wiki/Tiger_Zinda_Hai
6,Yash Raj Films,/wiki/Yash_Raj_Films
7,Bajrangi Bhaijaan,/wiki/Bajrangi_Bhaijaan
8,Salman Khan,/wiki/Salman_Khan
9,Padmaavat,/wiki/Padmaavat
10,Viacom 18 Motion Pictures,/wiki/Viacom_18_Motion_Pictures
11,Sultan (2016 film),/wiki/Sultan_(2016_film)
12,Dhoom 3,/wiki/Dhoom_3
13,Krrish 3,/wiki/Krrish_3
14,Filmkraft Productions Pvt. Ltd,/wiki/Filmkraft_Productions_Pvt._Ltd
15,Uri: The Surgical Strike,/wiki/Uri:_The_Surgical_Strike
16,Ronnie Screwvala,/wiki/Ronnie_Screwvala
17,Simmba,/wiki/Simmba
18,Reliance Entertainment,/wiki/Reliance_Entertainment
19,Kick,/wiki/Kick
20,Nadiadwala Grandson Entertainment,/wiki/Nadiadwala_Grandson_Entertainment
21,Chennai Express,/wiki/Chennai_Express
22,Red Chillies Entertainment,/wiki/Red_Chillies_Entertainment
23,Prem Ratan Dhan Payo,/wiki/Prem_Ratan_Dhan_Payo
24,Rajshri Productions,/wiki/Rajshri_Productions
25,Golmaal Again,/wiki/Golmaal_Again
26,Reliance Entertainment,/wiki/Reliance_Entertainment
27,Happy New Year,/wiki/Happy_New_Year
28,3 Idiots,/wiki/3_Idiots
29,Vinod Chopra Films,/wiki/Vinod_Chopra_Films
30,Ek Tha Tiger,/wiki/Ek_Tha_Tiger
31,Yeh Jawani Hai Deewani,/wiki/Yeh_Jawani_Hai_Deewani
32,Dharma Productions,/wiki/Dharma_Productions
33,Bajirao Mastani,/wiki/Bajirao_Mastani
34,Bang Bang!,/wiki/Bang_Bang!
35,Fox Star Studios,/wiki/Fox_Star_Studios
36,Race 3,/wiki/Race_3
37,mw-redirect,Salman Khan Films
38,Baaghi 2,/wiki/Baaghi_2
