,Organisation,PageLink
0,Advanced Materials and Processes Research Institute,/wiki/Advanced_Materials_and_Processes_Research_Institute
1,All India Peoples Science Network,/wiki/All_India_Peoples_Science_Network
2,Astronomical Society of India,/wiki/Astronomical_Society_of_India
3,Center for Biochemical Technology,/wiki/Center_for_Biochemical_Technology
4,Central Avian Research Institute,/wiki/Central_Avian_Research_Institute
5,Central Institute of Mining and Fuel Research,/wiki/Central_Institute_of_Mining_and_Fuel_Research
6,Central Mechanical Engineering Research Institute,/wiki/Central_Mechanical_Engineering_Research_Institute
7,Central Scientific Instruments Organisation,/wiki/Central_Scientific_Instruments_Organisation
8,"Centre for Science, Development and Media Studies","/wiki/Centre_for_Science,_Development_and_Media_Studies"
9,Chemical Research Society of India,/wiki/Chemical_Research_Society_of_India
10,CICS Chennai,/wiki/CICS_Chennai
11,Confederation of Indian Amateur Astronomers,/wiki/Confederation_of_Indian_Amateur_Astronomers
12,Central Building Research Institute,/wiki/Central_Building_Research_Institute
13,Council of Scientific and Industrial Research,/wiki/Council_of_Scientific_and_Industrial_Research
14,Cryptology Research Society of India,/wiki/Cryptology_Research_Society_of_India
15,Geological Society of India,/wiki/Geological_Society_of_India
16,Homi Bhabha Centre for Science Education,/wiki/Homi_Bhabha_Centre_for_Science_Education
17,Ibn Sina Academy of Medieval Medicine and Sciences,/wiki/Ibn_Sina_Academy_of_Medieval_Medicine_and_Sciences
18,Indian Association for Angiosperm Taxonomy,/wiki/Indian_Association_for_Angiosperm_Taxonomy
19,Indian Botanical Society,/wiki/Indian_Botanical_Society
20,Indian Chemical Society,/wiki/Indian_Chemical_Society
21,Indian Geophysical Union,/wiki/Indian_Geophysical_Union
22,Indian Institute of Chemical Biology,/wiki/Indian_Institute_of_Chemical_Biology
23,Indian Mathematical Society,/wiki/Indian_Mathematical_Society
24,Indian Physical Society,/wiki/Indian_Physical_Society
25,Indian Society for Parasitology,/wiki/Indian_Society_for_Parasitology
26,Institute of Genomics and Integrative Biology,/wiki/Institute_of_Genomics_and_Integrative_Biology
27,Jan Vignana Vedika,/wiki/Jan_Vignana_Vedika
28,Karnataka Science and Technology Academy,/wiki/Karnataka_Science_and_Technology_Academy
29,Kerala Sasthra Sahithya Parishad,/wiki/Kerala_Sasthra_Sahithya_Parishad
30,"Kerala State Council for Science, Technology and Environment","/wiki/Kerala_State_Council_for_Science,_Technology_and_Environment"
31,Khagol Mandal,/wiki/Khagol_Mandal
32,Khagol Vishwa,/wiki/Khagol_Vishwa
33,MigrantWatch,/wiki/MigrantWatch
34,National Academy of Medical Sciences,/wiki/National_Academy_of_Medical_Sciences
35,National Centre for Earth Science Studies,/wiki/National_Centre_for_Earth_Science_Studies
36,National Centre for Science Communicators,/wiki/National_Centre_for_Science_Communicators
37,National Collection of Industrial Microorganisms,/wiki/National_Collection_of_Industrial_Microorganisms
38,National Council of Science Museums,/wiki/National_Council_of_Science_Museums
39,National Innovation Foundation - India,/wiki/National_Innovation_Foundation_-_India
40,National Institute for Interdisciplinary Science and Technology,/wiki/National_Institute_for_Interdisciplinary_Science_and_Technology
41,Nature Conservation Foundation,/wiki/Nature_Conservation_Foundation
42,Open Source Drug Discovery,/wiki/Open_Source_Drug_Discovery
43,People's science movement,/wiki/People%27s_science_movement
44,Phycological Society of India,/wiki/Phycological_Society_of_India
45,Plasma Science Society of India,/wiki/Plasma_Science_Society_of_India
46,Reliance Institute of Life Sciences,/wiki/Reliance_Institute_of_Life_Sciences
47,Sálim Ali Centre for Ornithology and Natural History,/wiki/S%C3%A1lim_Ali_Centre_for_Ornithology_and_Natural_History
48,Surface Robotics Laboratory-CMERI,/wiki/Surface_Robotics_Laboratory-CMERI
49,Tamil Nadu Science Forum,/wiki/Tamil_Nadu_Science_Forum
50,Tamil Nadu Technology Development and Promotion Centre,/wiki/Tamil_Nadu_Technology_Development_and_Promotion_Centre
51,TERI-Deakin Nanobiotechnology Centre,/wiki/TERI-Deakin_Nanobiotechnology_Centre
52,Vijnana Bharati,/wiki/Vijnana_Bharati
