,Actor,PageLink
0,A. K. Hangal,/wiki/A._K._Hangal
1,Aadhi (actor),/wiki/Aadhi_(actor)
2,Aadi (Telugu actor),/wiki/Aadi_(Telugu_actor)
3,Aamir Khan,/wiki/Aamir_Khan
4,Aashish Chaudhary,/wiki/Aashish_Chaudhary
5,Abbas (actor),/wiki/Abbas_(actor)
6,Abhay Deol,/wiki/Abhay_Deol
7,Abhijeeth,/wiki/Abhijeeth
8,Abhishek Bachchan,/wiki/Abhishek_Bachchan
9,Abhishek Chatterjee,/wiki/Abhishek_Chatterjee
10,Abhimanyu Singh,/wiki/Abhimanyu_Singh
11,Abijeet Duddala,/wiki/Abijeet_Duddala
12,Abir Chatterjee,/wiki/Abir_Chatterjee
13,Achyuth Kumar,/wiki/Achyuth_Kumar
14,Adharvaa,/wiki/Adharvaa
15,Adhyayan Suman,/wiki/Adhyayan_Suman
16,Adil Hussain,/wiki/Adil_Hussain
17,Adithya Menon,/wiki/Adithya_Menon
18,Aditya Babu,/wiki/Aditya_Babu
19,Aditya Pancholi,/wiki/Aditya_Pancholi
20,Aditya Roy Kapur,/wiki/Aditya_Roy_Kapur
21,Adoor Bhasi,/wiki/Adoor_Bhasi
22,Aftab Shivdasani,/wiki/Aftab_Shivdasani
23,Ahuti Prasad,/wiki/Ahuti_Prasad
24,Ajay Devgan,/wiki/Ajay_Devgan
25,Ajay Rao,/wiki/Ajay_Rao
26,Ajaz Khan,/wiki/Ajaz_Khan
27,Ajinkya Dev,/wiki/Ajinkya_Dev
28,Ajit Khan,/wiki/Ajit_Khan
29,Ajith Kumar,/wiki/Ajith_Kumar
30,Ajmal Ameer,/wiki/Ajmal_Ameer
31,Aju Varghese,/wiki/Aju_Varghese
32,Akshay Anand,/wiki/Akshay_Anand
33,Akshay Kumar,/wiki/Akshay_Kumar
34,Akshaye Khanna,/wiki/Akshaye_Khanna
35,Akul Balaji,/wiki/Akul_Balaji
36,Ali (actor),/wiki/Ali_(actor)
37,Allari Naresh,/wiki/Allari_Naresh
38,Allu Arjun,/wiki/Allu_Arjun
39,Allu Sirish,/wiki/Allu_Sirish
40,Alok Nath,/wiki/Alok_Nath
41,Amar Talwar,/wiki/Amar_Talwar
42,Ambareesh,/wiki/Ambareesh
43,Amitabh Bachchan,/wiki/Amitabh_Bachchan
44,Amjad Khan (actor),/wiki/Amjad_Khan_(actor)
45,Amol Palekar,/wiki/Amol_Palekar
46,Amrish Puri,/wiki/Amrish_Puri
47,Ananth Nag,/wiki/Ananth_Nag
48,Anil Kapoor,/wiki/Anil_Kapoor
49,Aniruddha Jatkar,/wiki/Aniruddha_Jatkar
50,Anjan Srivastav,/wiki/Anjan_Srivastav
51,Ankush Hazra,/wiki/Ankush_Hazra
52,Annu Kapoor,/wiki/Annu_Kapoor
53,Anoop Kumar,/wiki/Anoop_Kumar
54,Anoop Menon,/wiki/Anoop_Menon
55,Anubhav Mohanty,/wiki/Anubhav_Mohanty
56,Anuj Gurwara,/wiki/Anuj_Gurwara
57,Anupam Kher,/wiki/Anupam_Kher
58,Aravind Akash,/wiki/Aravind_Akash
59,Arbaaz Khan,/wiki/Arbaaz_Khan
60,Arif Zakaria,/wiki/Arif_Zakaria
61,Arjun Kapoor,/wiki/Arjun_Kapoor
62,Arjun Mathur,/wiki/Arjun_Mathur
63,Arjun Rampal,/wiki/Arjun_Rampal
64,Arjun Sarja,/wiki/Arjun_Sarja
