,Actor,PageLink
0,Aamna Sharif,/wiki/Aamna_Sharif
1,Aarathi,/wiki/Aarathi
2,Aarti Agarwal,/wiki/Aarti_Agarwal
3,Aarti Chhabria,/wiki/Aarti_Chhabria
4,Abhirami (actress),/wiki/Abhirami_(actress)
5,Adah Sharma,/wiki/Adah_Sharma
6,Aditi Sharma,/wiki/Aditi_Sharma
7,Aditi Govitrikar,/wiki/Aditi_Govitrikar
8,Aditi Rao Hydari,/wiki/Aditi_Rao_Hydari
9,Aditi Sarangdhar,/wiki/Aditi_Sarangdhar
10,Additi Gupta,/wiki/Additi_Gupta
11,Ahaana Krishna,/wiki/Ahaana_Krishna
12,Aindrita Ray,/wiki/Aindrita_Ray
13,Aishwarya (actress),/wiki/Aishwarya_(actress)
14,Aishwarya Arjun,/wiki/Aishwarya_Arjun
15,Aishwarya Devan,/wiki/Aishwarya_Devan
16,Aishwarya Nag,/wiki/Aishwarya_Nag
17,Aishwarya Rai,/wiki/Aishwarya_Rai
18,Aishwarya Rajesh,/wiki/Aishwarya_Rajesh
19,Akanksha Juneja,/wiki/Akanksha_Juneja
20,Aksha Pardasany,/wiki/Aksha_Pardasany
21,Akshara Gowda,/wiki/Akshara_Gowda
22,Akshara Haasan,/wiki/Akshara_Haasan
23,Akshara Menon,/wiki/Akshara_Menon
24,Alia Bhatt,/wiki/Alia_Bhatt
25,Amala (actress),/wiki/Amala_(actress)
26,Amala Paul,/wiki/Amala_Paul
27,Ambika (actress),/wiki/Ambika_(actress)
28,Ameeta,/wiki/Ameeta
29,Ameesha Patel,/wiki/Ameesha_Patel
30,Amoolya,/wiki/Amoolya
31,Amrita Arora,/wiki/Amrita_Arora
32,Amrita Prakash,/wiki/Amrita_Prakash
33,Amrita Rao,/wiki/Amrita_Rao
34,Amrita Singh,/wiki/Amrita_Singh
35,Amruta Khanvilkar,/wiki/Amruta_Khanvilkar
36,Amyra Dastur,/wiki/Amyra_Dastur
37,Amy Jackson,/wiki/Amy_Jackson
38,Anaika Soti,/wiki/Anaika_Soti
39,Ananya (actress),/wiki/Ananya_(actress)
40,Anaswara Kumar,/wiki/Anaswara_Kumar
41,Andrea Jeremiah,/wiki/Andrea_Jeremiah
42,Andria D'Souza,/wiki/Andria_D%27Souza
43,Anita Hassanandani Reddy,/wiki/Anita_Hassanandani_Reddy
44,Anita Guha,/wiki/Anita_Guha
45,Anita Raj,/wiki/Anita_Raj
46,Anjala Zhaveri,/wiki/Anjala_Zhaveri
47,Anjali (actress born 1986),/wiki/Anjali_(actress_born_1986)
48,Anjali Devi,/wiki/Anjali_Devi
49,Anjali Sudhakar,/wiki/Anjali_Sudhakar
50,Anjana Bhowmick,/wiki/Anjana_Bhowmick
51,Anjana Sukhani,/wiki/Anjana_Sukhani
52,Anju Mahendru,/wiki/Anju_Mahendru
53,Ankita Lokhande,/wiki/Ankita_Lokhande
54,Ankita Sharma,/wiki/Ankita_Sharma
55,Ann Augustine,/wiki/Ann_Augustine
56,Ansiba Hassan,/wiki/Ansiba_Hassan
57,Antara Mali,/wiki/Antara_Mali
58,Anu Agarwal,/wiki/Anu_Agarwal
59,Anu Prabhakar,/wiki/Anu_Prabhakar
60,Anu Sithara,/wiki/Anu_Sithara
61,Anupama Parameswaran,/wiki/Anupama_Parameswaran
62,Anupama Verma,/wiki/Anupama_Verma
63,Anuradha Mehta,/wiki/Anuradha_Mehta
64,Anurita Jha,/wiki/Anurita_Jha
65,Anusha Dandekar,/wiki/Anusha_Dandekar
66,Anushka Sharma,/wiki/Anushka_Sharma
67,Anushka Shetty,/wiki/Anushka_Shetty
68,Anuya Bhagvath,/wiki/Anuya_Bhagvath
69,Aparajita Mohanty,/wiki/Aparajita_Mohanty
70,Aparnaa Bajpai,/wiki/Aparnaa_Bajpai
71,Aparna Balamurali,/wiki/Aparna_Balamurali
72,Aparna Sen,/wiki/Aparna_Sen
73,Archana (actress),/wiki/Archana_(actress)
74,Archana Jose Kavi,/wiki/Archana_Jose_Kavi
75,Archana Puran Singh,/wiki/Archana_Puran_Singh
76,Archana Gupta,/wiki/Archana_Gupta
77,Archita Sahu,/wiki/Archita_Sahu
78,Aruna Irani,/wiki/Aruna_Irani
79,Aruna Shields,/wiki/Aruna_Shields
80,Arundathi Nag,/wiki/Arundathi_Nag
81,Asawari Joshi,/wiki/Asawari_Joshi
82,Asha Negi,/wiki/Asha_Negi
83,Asha Parekh,/wiki/Asha_Parekh
84,Asha Saini,/wiki/Asha_Saini
85,Ashima Bhalla,/wiki/Ashima_Bhalla
86,Ashwini Bhave,/wiki/Ashwini_Bhave
87,Ashwini Kalsekar,/wiki/Ashwini_Kalsekar
88,Asin Thottumkal,/wiki/Asin_Thottumkal
89,Athiya Shetty (actress),/wiki/Athiya_Shetty_(actress)
90,Ayesha Jhulka,/wiki/Ayesha_Jhulka
91,Ayesha Takia,/wiki/Ayesha_Takia
92,Akanksha Puri,/wiki/Akanksha_Puri
93,Avani Modi,/wiki/Avani_Modi
94,Avantika Mishra,/wiki/Avantika_Mishra
95,Babita,/wiki/Babita
96,Barkha Bisht,/wiki/Barkha_Bisht
97,Bala Hijam,/wiki/Bala_Hijam
98,Barsha Priyadarshini,/wiki/Barsha_Priyadarshini
99,Barsha Rani Bishaya,/wiki/Barsha_Rani_Bishaya
100,Beena Banerjee,/wiki/Beena_Banerjee
101,Bhagyashree Patwardhan,/wiki/Bhagyashree_Patwardhan
102,Bhairavi Goswami,/wiki/Bhairavi_Goswami
103,Bhama,/wiki/Bhama
104,Bhanumathi Ramakrishna,/wiki/Bhanumathi_Ramakrishna
105,Bhanupriya,/wiki/Bhanupriya
106,Bharathi (actress),/wiki/Bharathi_(actress)
107,Bhargavi Narayan,/wiki/Bhargavi_Narayan
108,Bhavana (Kannada actress),/wiki/Bhavana_(Kannada_actress)
109,Bhavana (actress),/wiki/Bhavana_(actress)
110,Bhavana Rao,/wiki/Bhavana_Rao
111,Bhavya,/wiki/Bhavya
112,Bhoomika Chawla,/wiki/Bhoomika_Chawla
113,Bhumi Pednekar,/wiki/Bhumi_Pednekar
114,Bijoya Ray,/wiki/Bijoya_Ray
115,Bidita Bag,/wiki/Bidita_Bag
116,Bindu (actress),/wiki/Bindu_(actress)
117,Bindu Madhavi,/wiki/Bindu_Madhavi
118,Bipasha Basu,/wiki/Bipasha_Basu
119,Bina Rai,/wiki/Bina_Rai
120,Bobby Darling,/wiki/Bobby_Darling
121,Bruna Abdullah,/wiki/Bruna_Abdullah
122,B. V. Radha,/wiki/B._V._Radha
123,Carol Gracias,/wiki/Carol_Gracias
124,Celina Jaitley,/wiki/Celina_Jaitley
125,Chandrika (Kannada actress),/wiki/Chandrika_(Kannada_actress)
126,Charmila (actress),/wiki/Charmila_(actress)
127,Charmy Kaur,/wiki/Charmy_Kaur
128,Chaya Singh,/wiki/Chaya_Singh
129,Chetana Das,/wiki/Chetana_Das
130,Chippy (actress),/wiki/Chippy_(actress)
131,Chithra (actress),/wiki/Chithra_(actress)
132,Chitrangada Singh,/wiki/Chitrangada_Singh
133,Chitrashi Rawat,/wiki/Chitrashi_Rawat
134,Catherine Tresa,/wiki/Catherine_Tresa
135,Claudia Ciesla,/wiki/Claudia_Ciesla
136,Deepti Sati,/wiki/Deepti_Sati
137,Daisy Bopanna,/wiki/Daisy_Bopanna
138,Daisy Shah,/wiki/Daisy_Shah
139,Daisy Irani (actress),/wiki/Daisy_Irani_(actress)
140,Debashree Roy,/wiki/Debashree_Roy
141,Deeksha Seth,/wiki/Deeksha_Seth
142,Deepa Sahi,/wiki/Deepa_Sahi
143,Deepa Sannidhi,/wiki/Deepa_Sannidhi
144,Deepal Shaw,/wiki/Deepal_Shaw
145,Deepika Amin,/wiki/Deepika_Amin
146,Deepika Chikhalia,/wiki/Deepika_Chikhalia
147,Deepika Padukone,/wiki/Deepika_Padukone
148,Deepika Singh,/wiki/Deepika_Singh
149,Deepti Naval,/wiki/Deepti_Naval
150,Deepti Bhatnagar,/wiki/Deepti_Bhatnagar
151,Delnaaz Paul,/wiki/Delnaaz_Paul
152,Devayani (actress),/wiki/Devayani_(actress)
153,Devika,/wiki/Devika
154,Devika Rani Roerich,/wiki/Devika_Rani_Roerich
155,Dharti Bhatt,/wiki/Dharti_Bhatt
156,Dia Mirza,/wiki/Dia_Mirza
157,Diana Hayden,/wiki/Diana_Hayden
158,Diana Penty,/wiki/Diana_Penty
159,Dimple Jhangiani,/wiki/Dimple_Jhangiani
160,Dimple Kapadia,/wiki/Dimple_Kapadia
161,Dipannita Sharma,/wiki/Dipannita_Sharma
162,Disha Patani,/wiki/Disha_Patani
163,Disha Vakani,/wiki/Disha_Vakani
164,Divya Bharati,/wiki/Divya_Bharati
165,Divya Dutta,/wiki/Divya_Dutta
166,Ramya,/wiki/Ramya
167,Divyanka Tripathi,/wiki/Divyanka_Tripathi
168,Elli Avram,/wiki/Elli_Avram
169,Esha Deol,/wiki/Esha_Deol
170,Esha Gupta,/wiki/Esha_Gupta
